displaced_persons,displaced_persons_t1,displaced_persons_t2,displaced_persons_t3,mean_displaced_persons_t1_o1,mean_displaced_persons_t2_o1,mean_displaced_persons_t3_o1,mean_displaced_persons_t1_o2,mean_displaced_persons_t2_o2,mean_displaced_persons_t3_o2,mean_displaced_persons_t1_o3,mean_displaced_persons_t2_o3,mean_displaced_persons_t3_o3,Region,year,pop,gdp,urban
150000,0,0,0,0,0,0,0,0,0,0,0,0,AGO,1960,4.963068,,10.435
0,0,0,0,0,0,0,0,0,0,0,0,0,RWA,1960,2.771018,,2.4
0,0,0,0,0,0,0,0,0,0,0,0,0,GHA,1960,6.742107,,23.252
0,0,0,0,0,0,0,0,0,0,0,0,0,SDN,1960,11.561784,,10.746
0,0,0,0,0,0,0,0,0,0,0,0,0,GNB,1960,0.593289,,13.6
0,0,0,0,0,0,0,0,0,0,0,0,0,ALB,1960,1.610565,,30.705
0,0,0,0,0,0,0,0,0,0,0,0,0,ARM,1960,1.867396,,51.275
0,0,0,0,0,0,0,0,0,0,0,0,0,RUS,1960,119.905701,,53.731
0,0,0,0,0,0,0,0,0,0,0,0,0,COD,1960,15.367539,,22.3
0,0,0,0,0,0,0,0,0,0,0,0,0,VNM,1960,35.172657,,14.7
0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,1960,658.270094,,16.203
0,0,0,0,0,0,0,0,0,0,0,0,0,MOZ,1960,7.647298,,3.667
0,0,0,0,0,0,0,0,0,0,0,0,0,BDI,1960,2.940498,,2.038
0,0,0,0,0,0,0,0,0,0,0,0,0,GRC,1960,8.333499,,42.891
0,0,0,0,0,0,0,0,0,0,0,0,0,HUN,1960,9.982612,,55.911
0,0,0,0,0,0,0,0,0,0,0,0,0,CPV,1960,0.210933,,16.679
0,0,0,0,0,0,0,0,0,0,0,0,0,MWI,1960,3.525246,,4.39
0,0,0,0,0,0,0,0,0,0,0,0,0,NAM,1960,0.602545,,17.909
0,0,0,0,0,0,0,0,0,0,0,0,0,ZAF,1960,17.396477,,46.619
0,0,0,0,0,0,0,0,0,0,0,0,0,ETH,1960,22.55335,,6.433
0,0,0,0,0,0,0,0,0,0,0,0,0,COG,1960,1.013581,,31.601
0,0,0,0,0,0,0,0,0,0,0,0,0,ZMB,1960,3.044733,,18.145
0,0,0,0,0,0,0,0,0,0,0,0,0,NGA,1960,45.926253,,16.161
0,0,0,0,0,0,0,0,0,0,0,0,0,IRQ,1960,7.379922,,42.899
0,0,0,0,0,0,0,0,0,0,0,0,0,SYR,1960,4.566822,,36.758
0,0,0,0,0,0,0,0,0,0,0,0,0,BGR,1960,7.867008,,37.1
0,0,0,0,0,0,0,0,0,0,0,0,0,SRB,1960,7.583324,,29.064
0,0,0,0,0,0,0,0,0,0,0,0,0,CUB,1960,7.133582,,58.401
0,0,0,0,0,0,0,0,0,0,0,0,0,TCD,1960,2.954088,,6.695
0,0,0,0,0,0,0,0,0,0,0,0,0,ROU,1960,18.407002,,34.209
0,0,0,0,0,0,0,0,0,0,0,0,0,CZE,1960,9.521854,,59.548
0,0,0,0,0,0,0,0,0,0,0,0,0,POL,1960,29.033001,,47.892
0,0,0,0,0,0,0,0,0,0,0,0,0,ESP,1960,30.413044,,56.567
0,0,0,0,0,0,0,0,0,0,0,0,0,BOL,1960,3.354895,,36.762
0,0,0,0,0,0,0,0,0,0,0,0,0,LSO,1960,0.851594,,3.415
0,0,0,0,0,0,0,0,0,0,0,0,0,BRA,1960,72.758801,,46.139
0,0,0,0,0,0,0,0,0,0,0,0,0,GIN,1960,3.540756,,10.472
0,0,0,0,0,0,0,0,0,0,0,0,0,KHM,1960,5.433306,,10.285
0,0,0,0,0,0,0,0,0,0,0,0,0,TUR,1960,28.160579,,31.515
0,0,0,0,0,0,0,0,0,0,0,0,0,MMR,1960,20.957397,,19.226
0,0,0,0,0,0,0,0,0,0,0,0,0,UGA,1960,6.788219,,4.417
0,0,0,0,0,0,0,0,0,0,0,0,0,CHL,1960,7.651579,,67.836
0,0,0,0,0,0,0,0,0,0,0,0,0,URY,1960,2.538095,,80.241
0,0,0,0,0,0,0,0,0,0,0,0,0,HTI,1960,3.867502,,15.593
0,0,0,0,0,0,0,0,0,0,0,0,0,TZA,1960,10.074485,,5.246
0,0,0,0,0,0,0,0,0,0,0,0,0,GNQ,1960,0.252115,,25.537
0,0,0,0,0,0,0,0,0,0,0,0,0,MAR,1960,11.625999,,29.357
0,0,0,0,0,0,0,0,0,0,0,0,0,ZWE,1960,3.752373,,12.608
0,0,0,0,0,0,0,0,0,0,0,0,0,LAO,1960,2.129968,,7.946
0,0,0,0,0,0,0,0,0,0,0,0,0,KEN,1960,8.105435,,7.362
0,0,0,0,0,0,0,0,0,0,0,0,0,SOM,1960,2.819246,,17.312
0,0,0,0,0,0,0,0,0,0,0,0,0,PSE,1960,1.069013,,44.044
0,0,0,0,0,0,0,0,0,0,0,0,0,BEN,1960,2.419644,,9.275
0,0,0,0,0,0,0,0,0,0,0,0,0,CYP,1960,0.572997,,35.628
0,0,0,0,0,0,0,0,0,0,0,0,0,PHL,1960,26.010295,,30.297
0,0,0,0,0,0,0,0,0,0,0,0,0,NIC,1960,1.772895,,39.581
0,0,0,0,0,0,0,0,0,0,0,0,0,EGY,1960,27.903093,,37.864
0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,1960,3.308941,,30.229
0,0,0,0,0,0,0,0,0,0,0,0,0,IDN,1960,91.946612,,14.586
0,0,0,0,0,0,0,0,0,0,0,0,0,YEM,1960,5.116419,,9.1
0,0,0,0,0,0,0,0,0,0,0,0,0,AFG,1960,9.671046,,7.993
0,0,0,0,0,0,0,0,0,0,0,0,0,ERI,1960,1.423599,,9.751
0,0,0,0,0,0,0,0,0,0,0,0,0,SLV,1960,2.773095,,38.345
0,0,0,0,0,0,0,0,0,0,0,0,0,GTM,1960,4.158956,,31.121
0,0,0,0,0,0,0,0,0,0,0,0,0,ARG,1960,20.625451,,73.611
0,0,0,0,0,0,0,0,0,0,0,0,0,IRN,1960,21.999103,,33.735
0,0,0,0,0,0,0,0,0,0,0,0,0,LBY,1960,1.349004,,27.323
0,0,0,0,0,0,0,0,0,0,0,0,0,COL,1960,16.004714,,45.033
0,0,0,0,0,0,0,0,0,0,0,0,0,DZA,1960,10.799997,,30.51
0,0,0,0,0,0,0,0,0,0,0,0,0,CAF,1960,1.503509,,20.1
0,0,0,0,0,0,0,0,0,0,0,0,0,LBN,1960,1.907573,,42.343
0,0,0,0,0,0,0,0,0,0,0,0,0,TUN,1960,4.220701,,37.511
0,0,0,0,0,0,0,0,0,0,0,0,0,BFA,1960,4.881947,,4.7
0,0,0,0,0,0,0,0,0,0,0,0,0,JOR,1960,0.895357,,50.879
0,0,0,0,0,0,0,0,0,0,0,0,0,STP,1960,0.064251,,16.073
0,0,0,0,0,0,0,0,0,0,0,0,0,LKA,1960,10.020405,,17.884
0,0,0,0,0,0,0,0,0,0,0,0,0,TGO,1960,1.577708,,10.098
0,0,0,0,0,0,0,0,0,0,0,0,0,HND,1960,1.99953,,22.747
0,0,0,0,0,0,0,0,0,0,0,0,0,BGD,1960,50.101943,,5.135
0,0,0,0,0,0,0,0,0,0,0,0,0,GRD,1960,0.089844,,30.332
0,0,0,0,0,0,0,0,0,0,0,0,0,IND,1960,447.844159,,17.924
0,0,0,0,0,0,0,0,0,0,0,0,0,ISR,1960,2.089963,,76.848
